,vote_date,resolution_title,vote_summary,vote_record,url_record
0,2020-10-07,The contribution of the Human Rights Council to the prevention of human rights violations,"
    Yes: 32 | No: 3 | Abstentions: 11 | Non-Voting: 1 | Total voting membership: 47","
    Y AFGHANISTAN Y ANGOLA Y ARGENTINA Y ARMENIA Y AUSTRALIA Y AUSTRIA Y BAHAMAS N BAHRAIN A BANGLADESH Y BRAZIL Y BULGARIA Y BURKINA FASO N CAMEROON Y CHILE Y CZECH REPUBLIC Y DEMOCRATIC REPUBLIC OF THE CONGO Y DENMARK A ERITREA Y FIJI Y GERMANY A INDIA A INDONESIA Y ITALY Y JAPAN . LIBYAN ARAB REPUBLIC Y MARSHALL ISLANDS A MAURITANIA Y MEXICO A NAMIBIA Y NEPAL Y NETHERLANDS A NIGERIA A PAKISTAN Y PERU A PHILIPPINES Y POLAND Y QATAR Y REPUBLIC OF KOREA Y SENEGAL Y SLOVAKIA A SOMALIA Y SPAIN A SUDAN Y TOGO Y UKRAINE Y URUGUAY N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29485
1,2020-10-06,Situation of human rights in the Syrian Arab Republic,"
    Yes: 27 | No: 1 | Abstentions: 19 | Non-Voting: 0 | Total voting membership: 47","
    A AFGHANISTAN A ANGOLA Y ARGENTINA A ARMENIA Y AUSTRALIA Y AUSTRIA Y BAHAMAS A BAHRAIN A BANGLADESH Y BRAZIL Y BULGARIA A BURKINA FASO A CAMEROON Y CHILE Y CZECH REPUBLIC A DEMOCRATIC REPUBLIC OF THE CONGO Y DENMARK A ERITREA Y FIJI Y GERMANY A INDIA A INDONESIA Y ITALY Y JAPAN Y LIBYAN ARAB REPUBLIC Y MARSHALL ISLANDS A MAURITANIA Y MEXICO A NAMIBIA A NEPAL Y NETHERLANDS A NIGERIA A PAKISTAN Y PERU A PHILIPPINES Y POLAND Y QATAR Y REPUBLIC OF KOREA A SENEGAL Y SLOVAKIA Y SOMALIA Y SPAIN A SUDAN Y TOGO Y UKRAINE Y URUGUAY N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29475
2,2020-10-06,Situation of human rights in the Bolivarian Republic of Venezuela,"
    Yes: 22 | No: 3 | Abstentions: 22 | Non-Voting: 0 | Total voting membership: 47","
    A AFGHANISTAN A ANGOLA Y ARGENTINA A ARMENIA Y AUSTRALIA Y AUSTRIA Y BAHAMAS A BAHRAIN A BANGLADESH Y BRAZIL Y BULGARIA A BURKINA FASO A CAMEROON Y CHILE Y CZECH REPUBLIC A DEMOCRATIC REPUBLIC OF THE CONGO Y DENMARK N ERITREA Y FIJI Y GERMANY A INDIA A INDONESIA Y ITALY Y JAPAN A LIBYAN ARAB REPUBLIC Y MARSHALL ISLANDS A MAURITANIA A MEXICO A NAMIBIA A NEPAL Y NETHERLANDS A NIGERIA A PAKISTAN Y PERU N PHILIPPINES Y POLAND A QATAR Y REPUBLIC OF KOREA A SENEGAL Y SLOVAKIA A SOMALIA Y SPAIN A SUDAN A TOGO Y UKRAINE Y URUGUAY N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29474
3,2020-10-06,Situation of human rights in Burundi,"
    Yes: 24 | No: 6 | Abstentions: 17 | Non-Voting: 0 | Total voting membership: 47","
    A AFGHANISTAN A ANGOLA Y ARGENTINA Y ARMENIA Y AUSTRALIA Y AUSTRIA Y BAHAMAS A BAHRAIN A BANGLADESH Y BRAZIL Y BULGARIA A BURKINA FASO N CAMEROON Y CHILE Y CZECH REPUBLIC A DEMOCRATIC REPUBLIC OF THE CONGO Y DENMARK A ERITREA Y FIJI Y GERMANY A INDIA A INDONESIA Y ITALY Y JAPAN A LIBYAN ARAB REPUBLIC Y MARSHALL ISLANDS A MAURITANIA Y MEXICO A NAMIBIA A NEPAL Y NETHERLANDS A NIGERIA N PAKISTAN Y PERU N PHILIPPINES Y POLAND A QATAR Y REPUBLIC OF KOREA A SENEGAL Y SLOVAKIA N SOMALIA Y SPAIN A SUDAN N TOGO Y UKRAINE Y URUGUAY N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29473
4,2020-10-06,Situation of human rights in Yemen,"
    Yes: 22 | No: 12 | Abstentions: 12 | Non-Voting: 1 | Total voting membership: 47","
    N AFGHANISTAN A ANGOLA Y ARGENTINA A ARMENIA Y AUSTRALIA Y AUSTRIA Y BAHAMAS N BAHRAIN A BANGLADESH Y BRAZIL Y BULGARIA N BURKINA FASO A CAMEROON Y CHILE Y CZECH REPUBLIC A DEMOCRATIC REPUBLIC OF THE CONGO Y DENMARK N ERITREA Y FIJI Y GERMANY N INDIA A INDONESIA Y ITALY A JAPAN N LIBYAN ARAB REPUBLIC Y MARSHALL ISLANDS N MAURITANIA Y MEXICO A NAMIBIA A NEPAL Y NETHERLANDS A NIGERIA N PAKISTAN Y PERU N PHILIPPINES Y POLAND Y QATAR Y REPUBLIC OF KOREA A SENEGAL Y SLOVAKIA N SOMALIA Y SPAIN N SUDAN A TOGO . UKRAINE Y URUGUAY N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29469
5,2020-10-06,Eliminating inequality within and among States for the realization of human rights,"
    Yes: 25 | No: 8 | Abstentions: 14 | Non-Voting: 0 | Total voting membership: 47","
    Y AFGHANISTAN Y ANGOLA A ARGENTINA A ARMENIA N AUSTRALIA A AUSTRIA Y BAHAMAS Y BAHRAIN Y BANGLADESH A BRAZIL N BULGARIA Y BURKINA FASO Y CAMEROON A CHILE N CZECH REPUBLIC Y DEMOCRATIC REPUBLIC OF THE CONGO N DENMARK Y ERITREA Y FIJI A GERMANY Y INDIA Y INDONESIA A ITALY N JAPAN Y LIBYAN ARAB REPUBLIC A MARSHALL ISLANDS Y MAURITANIA A MEXICO Y NAMIBIA Y NEPAL N NETHERLANDS Y NIGERIA Y PAKISTAN A PERU Y PHILIPPINES N POLAND Y QATAR A REPUBLIC OF KOREA Y SENEGAL N SLOVAKIA Y SOMALIA A SPAIN Y SUDAN Y TOGO A UKRAINE A URUGUAY Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29468
6,2020-10-06,The right to development,"
    Yes: 27 | No: 13 | Abstentions: 7 | Non-Voting: 0 | Total voting membership: 47","
    Y AFGHANISTAN Y ANGOLA Y ARGENTINA A ARMENIA N AUSTRALIA N AUSTRIA Y BAHAMAS Y BAHRAIN Y BANGLADESH A BRAZIL N BULGARIA Y BURKINA FASO Y CAMEROON A CHILE N CZECH REPUBLIC Y DEMOCRATIC REPUBLIC OF THE CONGO N DENMARK Y ERITREA Y FIJI N GERMANY Y INDIA Y INDONESIA N ITALY N JAPAN Y LIBYAN ARAB REPUBLIC A MARSHALL ISLANDS Y MAURITANIA A MEXICO Y NAMIBIA Y NEPAL N NETHERLANDS Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES N POLAND Y QATAR A REPUBLIC OF KOREA Y SENEGAL N SLOVAKIA Y SOMALIA N SPAIN Y SUDAN Y TOGO N UKRAINE A URUGUAY Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29460
7,2020-10-06,Human rights and unilateral coercive measures,"
    Yes: 27 | No: 15 | Abstentions: 5 | Non-Voting: 0 | Total voting membership: 47","
    A AFGHANISTAN Y ANGOLA Y ARGENTINA A ARMENIA N AUSTRALIA N AUSTRIA Y BAHAMAS Y BAHRAIN Y BANGLADESH A BRAZIL N BULGARIA Y BURKINA FASO Y CAMEROON Y CHILE N CZECH REPUBLIC Y DEMOCRATIC REPUBLIC OF THE CONGO N DENMARK Y ERITREA Y FIJI N GERMANY Y INDIA Y INDONESIA N ITALY N JAPAN Y LIBYAN ARAB REPUBLIC N MARSHALL ISLANDS Y MAURITANIA A MEXICO Y NAMIBIA Y NEPAL N NETHERLANDS Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES N POLAND Y QATAR N REPUBLIC OF KOREA Y SENEGAL N SLOVAKIA Y SOMALIA N SPAIN Y SUDAN Y TOGO N UKRAINE A URUGUAY Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29459
8,2020-10-06,Mandate of the Independent Expert on the promotion of a democratic and equitable international order,"
    Yes: 22 | No: 15 | Abstentions: 10 | Non-Voting: 0 | Total voting membership: 47","
    A AFGHANISTAN Y ANGOLA Y ARGENTINA A ARMENIA N AUSTRALIA N AUSTRIA Y BAHAMAS Y BAHRAIN Y BANGLADESH A BRAZIL N BULGARIA Y BURKINA FASO Y CAMEROON A CHILE N CZECH REPUBLIC A DEMOCRATIC REPUBLIC OF THE CONGO N DENMARK Y ERITREA Y FIJI N GERMANY Y INDIA Y INDONESIA N ITALY N JAPAN A LIBYAN ARAB REPUBLIC N MARSHALL ISLANDS Y MAURITANIA A MEXICO Y NAMIBIA Y NEPAL N NETHERLANDS Y NIGERIA Y PAKISTAN A PERU Y PHILIPPINES N POLAND Y QATAR N REPUBLIC OF KOREA Y SENEGAL N SLOVAKIA A SOMALIA N SPAIN Y SUDAN Y TOGO N UKRAINE A URUGUAY Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29458
9,2020-10-06,Strengthening cooperation and technical assistance in the field of human rights in the Bolivarian Republic of Venezuela,"
    Yes: 14 | No: 7 | Abstentions: 26 | Non-Voting: 0 | Total voting membership: 47","
    A AFGHANISTAN Y ANGOLA A ARGENTINA A ARMENIA N AUSTRALIA A AUSTRIA A BAHAMAS A BAHRAIN A BANGLADESH N BRAZIL A BULGARIA Y BURKINA FASO Y CAMEROON N CHILE A CZECH REPUBLIC A DEMOCRATIC REPUBLIC OF THE CONGO A DENMARK Y ERITREA Y FIJI A GERMANY A INDIA Y INDONESIA A ITALY A JAPAN A LIBYAN ARAB REPUBLIC N MARSHALL ISLANDS A MAURITANIA Y MEXICO Y NAMIBIA Y NEPAL A NETHERLANDS A NIGERIA Y PAKISTAN N PERU Y PHILIPPINES A POLAND Y QATAR A REPUBLIC OF KOREA A SENEGAL A SLOVAKIA A SOMALIA A SPAIN Y SUDAN A TOGO N UKRAINE N URUGUAY Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/29456
