,Unnamed: 0,vote_date,resolution_title,vote_summary,vote_record,url_record
0,0,2023-04-04,Cooperation with Georgia,"
    Yes: 22 | No: 4 | Abstentions: 21 | Non-Voting: 0 | Total voting membership: 47","
    A ALGERIA A ARGENTINA A BANGLADESH Y BELGIUM A BENIN N BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE N CHINA Y COSTA RICA A COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA Y GEORGIA Y GERMANY Y HONDURAS A INDIA A KAZAKHSTAN A KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA Y MALDIVES Y MEXICO Y MONTENEGRO A MOROCCO A NEPAL A PAKISTAN Y PARAGUAY A QATAR Y ROMANIA Y SENEGAL A SOMALIA A SOUTH AFRICA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN A VIET NAM",https://searchlibrary.ohchr.org/record/30371
1,1,2023-04-04,Mandate of the Intergovernmental Working Group on the Effective Implementation of the Durban Declaration and Programme of Action,"
    Yes: 45 | No: 2 | Abstentions: 0 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH Y BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA Y CZECH REPUBLIC Y ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA Y GEORGIA Y GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES Y MEXICO Y MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR Y ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN Y UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/30370
2,2,2023-04-04,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan","
    Yes: 38 | No: 4 | Abstentions: 5 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH Y BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA A GEORGIA Y GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN A LITHUANIA Y LUXEMBOURG N MALAWI Y MALAYSIA Y MALDIVES Y MEXICO Y MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR A ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN A UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/30369
3,3,2023-04-04,Right of the Palestinian people to self-determination,"
    Yes: 41 | No: 3 | Abstentions: 3 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH Y BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA Y GEORGIA Y GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN A LITHUANIA Y LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES Y MEXICO Y MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR A ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN Y UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/30368
4,4,2023-04-04,Human rights in the occupied Syrian Golan,"
    Yes: 31 | No: 14 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH N BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GEORGIA N GERMANY A HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN N LITHUANIA N LUXEMBOURG N MALAWI Y MALAYSIA Y MALDIVES Y MEXICO N MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN Y PARAGUAY Y QATAR N ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/30367
5,5,2023-04-04,Situation of human rights in Ukraine stemming from the Russian aggression,"
    Yes: 28 | No: 2 | Abstentions: 17 | Non-Voting: 0 | Total voting membership: 47","
    A ALGERIA Y ARGENTINA A BANGLADESH Y BELGIUM A BENIN A BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE N CHINA Y COSTA RICA Y COTE D'IVOIRE A CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA Y GEORGIA Y GERMANY A HONDURAS A INDIA A KAZAKHSTAN A KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES Y MEXICO Y MONTENEGRO A MOROCCO Y NEPAL A PAKISTAN Y PARAGUAY Y QATAR Y ROMANIA A SENEGAL Y SOMALIA A SOUTH AFRICA A SUDAN Y UKRAINE Y UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN A VIET NAM",https://searchlibrary.ohchr.org/record/30366
6,6,2023-04-04,Situation of human rights in the Syrian Arab Republic,"
    Yes: 26 | No: 5 | Abstentions: 16 | Non-Voting: 0 | Total voting membership: 47","
    N ALGERIA Y ARGENTINA A BANGLADESH Y BELGIUM Y BENIN N BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE N CHINA Y COSTA RICA Y COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA Y GEORGIA Y GERMANY Y HONDURAS A INDIA A KAZAKHSTAN A KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA A MALDIVES Y MEXICO Y MONTENEGRO Y MOROCCO A NEPAL A PAKISTAN Y PARAGUAY Y QATAR Y ROMANIA A SENEGAL A SOMALIA A SOUTH AFRICA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VIET NAM",https://searchlibrary.ohchr.org/record/30365
7,7,2023-04-04,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath,"
    Yes: 21 | No: 5 | Abstentions: 21 | Non-Voting: 0 | Total voting membership: 47","
    A ALGERIA Y ARGENTINA A BANGLADESH Y BELGIUM Y BENIN N BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE N CHINA Y COSTA RICA A COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA A GEORGIA Y GERMANY Y HONDURAS A INDIA A KAZAKHSTAN A KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA A MALDIVES Y MEXICO Y MONTENEGRO A MOROCCO A NEPAL A PAKISTAN Y PARAGUAY A QATAR Y ROMANIA A SENEGAL A SOMALIA A SOUTH AFRICA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VIET NAM",https://searchlibrary.ohchr.org/record/30364
8,8,2023-04-04,Situation of human rights in the Islamic Republic of Iran,"
    Yes: 23 | No: 8 | Abstentions: 16 | Non-Voting: 0 | Total voting membership: 47","
    A ALGERIA Y ARGENTINA N BANGLADESH Y BELGIUM Y BENIN N BOLIVIA (PLURINATIONAL STATE OF) A CAMEROON Y CHILE N CHINA Y COSTA RICA A COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON A GAMBIA A GEORGIA Y GERMANY Y HONDURAS A INDIA N KAZAKHSTAN A KYRGYZSTAN Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA Y MALDIVES Y MEXICO Y MONTENEGRO Y MOROCCO A NEPAL N PAKISTAN Y PARAGUAY A QATAR Y ROMANIA A SENEGAL Y SOMALIA A SOUTH AFRICA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VIET NAM",https://searchlibrary.ohchr.org/record/30363
9,9,2023-04-03,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation","
    Yes: 32 | No: 13 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y BANGLADESH N BELGIUM Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y CAMEROON Y CHILE Y CHINA Y COSTA RICA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GEORGIA N GERMANY Y HONDURAS Y INDIA Y KAZAKHSTAN Y KYRGYZSTAN N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA Y MALDIVES A MEXICO N MONTENEGRO Y MOROCCO Y NEPAL Y PAKISTAN A PARAGUAY Y QATAR N ROMANIA Y SENEGAL Y SOMALIA Y SOUTH AFRICA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VIET NAM",https://searchlibrary.ohchr.org/record/30362
