,vote_date,resolution_title,vote_summary,vote_record,url_record
0,2017-09-29,Technical assistance and capacity-building in the field of human rights in the Democratic Republic of the Congo,"
    Yes: 45 | No: 1 | Abstentions: 1 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA Y BANGLADESH Y BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BRAZIL Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE Y CROATIA Y CUBA Y ECUADOR Y EGYPT Y EL SALVADOR Y ETHIOPIA Y GEORGIA Y GERMANY Y GHANA Y HUNGARY Y INDIA Y INDONESIA Y IRAQ Y JAPAN Y KENYA Y KYRGYZSTAN Y LATVIA Y MONGOLIA Y NETHERLANDS Y NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES Y PORTUGAL Y QATAR A REPUBLIC OF KOREA Y RWANDA Y SAUDI ARABIA Y SLOVENIA Y SOUTH AFRICA Y SWITZERLAND Y TOGO Y TUNISIA Y UNITED ARAB EMIRATES Y UNITED KINGDOM N UNITED STATES Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27435
1,2017-09-29,"From rhetoric to reality : a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance","
    Yes: 32 | No: 5 | Abstentions: 10 | Non-Voting: 0 | Total voting membership: 47","
    N ALBANIA Y BANGLADESH A BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BRAZIL Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE A CROATIA Y CUBA Y ECUADOR Y EGYPT Y EL SALVADOR Y ETHIOPIA A GEORGIA N GERMANY Y GHANA A HUNGARY Y INDIA Y INDONESIA Y IRAQ A JAPAN Y KENYA Y KYRGYZSTAN A LATVIA Y MONGOLIA A NETHERLANDS Y NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES A PORTUGAL Y QATAR A REPUBLIC OF KOREA Y RWANDA Y SAUDI ARABIA A SLOVENIA Y SOUTH AFRICA N SWITZERLAND Y TOGO Y TUNISIA Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27429
2,2017-09-29,Promotion and protection of the human rights of peasants and other people working in rural areas,"
    Yes: 34 | No: 2 | Abstentions: 11 | Non-Voting: 0 | Total voting membership: 47","
    A ALBANIA Y BANGLADESH A BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BRAZIL Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE A CROATIA Y CUBA Y ECUADOR Y EGYPT Y EL SALVADOR Y ETHIOPIA A GEORGIA A GERMANY Y GHANA A HUNGARY Y INDIA Y INDONESIA Y IRAQ A JAPAN Y KENYA Y KYRGYZSTAN A LATVIA Y MONGOLIA A NETHERLANDS Y NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES Y PORTUGAL Y QATAR A REPUBLIC OF KOREA Y RWANDA Y SAUDI ARABIA A SLOVENIA Y SOUTH AFRICA Y SWITZERLAND Y TOGO Y TUNISIA Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27427
3,2017-09-29,"Cooperation with the United Nations, its representatives and mechanisms in the field of human rights","
    Yes: 28 | No: 0 | Abstentions: 19 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA A BANGLADESH Y BELGIUM A BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BRAZIL A BURUNDI A CHINA Y CONGO Y COTE D'IVOIRE Y CROATIA A CUBA Y ECUADOR A EGYPT Y EL SALVADOR A ETHIOPIA Y GEORGIA Y GERMANY Y GHANA Y HUNGARY A INDIA A INDONESIA Y IRAQ Y JAPAN A KENYA A KYRGYZSTAN Y LATVIA Y MONGOLIA Y NETHERLANDS A NIGERIA Y PANAMA Y PARAGUAY A PHILIPPINES Y PORTUGAL A QATAR Y REPUBLIC OF KOREA Y RWANDA A SAUDI ARABIA Y SLOVENIA A SOUTH AFRICA Y SWITZERLAND A TOGO Y TUNISIA A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27426
4,2017-09-29,The human rights situation in the Syrian Arab Republic,"
    Yes: 27 | No: 7 | Abstentions: 13 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA A BANGLADESH Y BELGIUM N BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BRAZIL N BURUNDI N CHINA A CONGO Y COTE D'IVOIRE Y CROATIA N CUBA A ECUADOR A EGYPT Y EL SALVADOR A ETHIOPIA Y GEORGIA Y GERMANY Y GHANA Y HUNGARY A INDIA A INDONESIA N IRAQ Y JAPAN A KENYA A KYRGYZSTAN Y LATVIA A MONGOLIA Y NETHERLANDS A NIGERIA Y PANAMA Y PARAGUAY N PHILIPPINES Y PORTUGAL Y QATAR Y REPUBLIC OF KOREA Y RWANDA Y SAUDI ARABIA Y SLOVENIA A SOUTH AFRICA Y SWITZERLAND Y TOGO A TUNISIA Y UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27425
5,2017-09-29,Renewal of the mandate of the Commission of Inquiry on Burundi,"
    Yes: 22 | No: 11 | Abstentions: 14 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA A BANGLADESH Y BELGIUM N BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BRAZIL N BURUNDI N CHINA N CONGO A COTE D'IVOIRE Y CROATIA N CUBA A ECUADOR N EGYPT Y EL SALVADOR A ETHIOPIA Y GEORGIA Y GERMANY N GHANA Y HUNGARY A INDIA A INDONESIA A IRAQ Y JAPAN A KENYA A KYRGYZSTAN Y LATVIA Y MONGOLIA Y NETHERLANDS A NIGERIA Y PANAMA Y PARAGUAY A PHILIPPINES Y PORTUGAL A QATAR Y REPUBLIC OF KOREA Y RWANDA N SAUDI ARABIA Y SLOVENIA N SOUTH AFRICA Y SWITZERLAND A TOGO A TUNISIA N UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27424
6,2017-09-29,The question of the death penalty,"
    Yes: 27 | No: 13 | Abstentions: 7 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA N BANGLADESH Y BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) N BOTSWANA Y BRAZIL N BURUNDI N CHINA Y CONGO Y COTE D'IVOIRE Y CROATIA A CUBA Y ECUADOR N EGYPT Y EL SALVADOR N ETHIOPIA Y GEORGIA Y GERMANY Y GHANA Y HUNGARY N INDIA A INDONESIA N IRAQ N JAPAN A KENYA Y KYRGYZSTAN Y LATVIA Y MONGOLIA Y NETHERLANDS A NIGERIA Y PANAMA Y PARAGUAY A PHILIPPINES Y PORTUGAL N QATAR A REPUBLIC OF KOREA Y RWANDA N SAUDI ARABIA Y SLOVENIA Y SOUTH AFRICA Y SWITZERLAND Y TOGO A TUNISIA N UNITED ARAB EMIRATES Y UNITED KINGDOM N UNITED STATES Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27422
7,2017-09-28,Human rights and unilateral coercive measures,"
    Yes: 30 | No: 15 | Abstentions: 1 | Non-Voting: 1 | Total voting membership: 47","
    N ALBANIA Y BANGLADESH N BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BRAZIL Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE N CROATIA Y CUBA Y ECUADOR Y EGYPT Y EL SALVADOR Y ETHIOPIA N GEORGIA N GERMANY Y GHANA N HUNGARY Y INDIA Y INDONESIA Y IRAQ N JAPAN Y KENYA Y KYRGYZSTAN N LATVIA Y MONGOLIA N NETHERLANDS Y NIGERIA . PANAMA Y PARAGUAY Y PHILIPPINES N PORTUGAL Y QATAR N REPUBLIC OF KOREA Y RWANDA Y SAUDI ARABIA N SLOVENIA Y SOUTH AFRICA N SWITZERLAND A TOGO Y TUNISIA Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27415
8,2017-09-28,The right to development,"
    Yes: 31 | No: 11 | Abstentions: 4 | Non-Voting: 1 | Total voting membership: 47","
    A ALBANIA Y BANGLADESH N BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BRAZIL Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE N CROATIA Y CUBA Y ECUADOR Y EGYPT Y EL SALVADOR Y ETHIOPIA N GEORGIA N GERMANY Y GHANA N HUNGARY Y INDIA Y INDONESIA Y IRAQ N JAPAN Y KENYA Y KYRGYZSTAN N LATVIA Y MONGOLIA N NETHERLANDS Y NIGERIA . PANAMA Y PARAGUAY Y PHILIPPINES A PORTUGAL Y QATAR A REPUBLIC OF KOREA Y RWANDA Y SAUDI ARABIA A SLOVENIA Y SOUTH AFRICA N SWITZERLAND Y TOGO Y TUNISIA Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27414
9,2017-09-28,Mandate of the Independent Expert on the promotion of a democratic and equitable international order,"
    Yes: 32 | No: 15 | Abstentions: 0 | Non-Voting: 0 | Total voting membership: 47","
    N ALBANIA Y BANGLADESH N BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BRAZIL Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE N CROATIA Y CUBA Y ECUADOR Y EGYPT Y EL SALVADOR Y ETHIOPIA N GEORGIA N GERMANY Y GHANA N HUNGARY Y INDIA Y INDONESIA Y IRAQ N JAPAN Y KENYA Y KYRGYZSTAN N LATVIA Y MONGOLIA N NETHERLANDS Y NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES N PORTUGAL Y QATAR N REPUBLIC OF KOREA Y RWANDA Y SAUDI ARABIA N SLOVENIA Y SOUTH AFRICA N SWITZERLAND Y TOGO Y TUNISIA Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/27409
