,vote_date,resolution_title,vote_summary,vote_record,url_record
0,2016-09-30,Arbitrary detention,"
    Yes: 46 | No: 0 | Abstentions: 1 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA Y ALGERIA Y BANGLADESH Y BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE Y CUBA Y ECUADOR Y EL SALVADOR Y ETHIOPIA Y FRANCE Y GEORGIA Y GERMANY Y GHANA Y INDIA Y INDONESIA Y KENYA A KYRGYZSTAN Y LATVIA Y MALDIVES Y MEXICO Y MONGOLIA Y MOROCCO Y NAMIBIA Y NETHERLANDS Y NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES Y PORTUGAL Y QATAR Y REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SLOVENIA Y SOUTH AFRICA Y SWITZERLAND Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA Y TOGO Y UNITED ARAB EMIRATES Y UNITED KINGDOM Y VENEZUELA (BOLIVARIAN REPUBLIC OF) Y VIET NAM",https://searchlibrary.ohchr.org/record/27287
1,2016-09-30,Situation of human rights in Burundi,"
    Yes: 19 | No: 7 | Abstentions: 21 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA A ALGERIA A BANGLADESH Y BELGIUM N BOLIVIA (PLURINATIONAL STATE OF) A BOTSWANA N BURUNDI N CHINA A CONGO A COTE D'IVOIRE N CUBA A ECUADOR Y EL SALVADOR A ETHIOPIA Y FRANCE Y GEORGIA Y GERMANY Y GHANA A INDIA A INDONESIA A KENYA A KYRGYZSTAN Y LATVIA A MALDIVES Y MEXICO Y MONGOLIA N MOROCCO A NAMIBIA Y NETHERLANDS A NIGERIA Y PANAMA Y PARAGUAY A PHILIPPINES Y PORTUGAL A QATAR Y REPUBLIC OF KOREA N RUSSIAN FEDERATION A SAUDI ARABIA Y SLOVENIA A SOUTH AFRICA Y SWITZERLAND Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA A TOGO A UNITED ARAB EMIRATES Y UNITED KINGDOM N VENEZUELA (BOLIVARIAN REPUBLIC OF) A VIET NAM",https://searchlibrary.ohchr.org/record/27281
2,2016-09-30,The human rights situation in the Syrian Arab Republic,"
    Yes: 26 | No: 7 | Abstentions: 14 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA N ALGERIA A BANGLADESH Y BELGIUM N BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA N BURUNDI N CHINA A CONGO Y COTE D'IVOIRE N CUBA A ECUADOR Y EL SALVADOR A ETHIOPIA Y FRANCE Y GEORGIA Y GERMANY Y GHANA A INDIA A INDONESIA A KENYA A KYRGYZSTAN Y LATVIA Y MALDIVES Y MEXICO Y MONGOLIA Y MOROCCO A NAMIBIA Y NETHERLANDS A NIGERIA Y PANAMA Y PARAGUAY A PHILIPPINES Y PORTUGAL Y QATAR Y REPUBLIC OF KOREA N RUSSIAN FEDERATION Y SAUDI ARABIA Y SLOVENIA A SOUTH AFRICA Y SWITZERLAND Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA A TOGO Y UNITED ARAB EMIRATES Y UNITED KINGDOM N VENEZUELA (BOLIVARIAN REPUBLIC OF) A VIET NAM",https://searchlibrary.ohchr.org/record/27280
3,2016-09-30,Protection of human rights and fundamental freedoms while countering terrorism,"
    Yes: 38 | No: 0 | Abstentions: 9 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA Y ALGERIA Y BANGLADESH Y BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA A BURUNDI A CHINA Y CONGO Y COTE D'IVOIRE Y CUBA Y ECUADOR A EL SALVADOR Y ETHIOPIA Y FRANCE Y GEORGIA Y GERMANY Y GHANA A INDIA Y INDONESIA Y KENYA Y KYRGYZSTAN Y LATVIA Y MALDIVES Y MEXICO Y MONGOLIA Y MOROCCO Y NAMIBIA Y NETHERLANDS Y NIGERIA Y PANAMA A PARAGUAY A PHILIPPINES Y PORTUGAL Y QATAR Y REPUBLIC OF KOREA A RUSSIAN FEDERATION Y SAUDI ARABIA Y SLOVENIA Y SOUTH AFRICA Y SWITZERLAND Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA A TOGO Y UNITED ARAB EMIRATES Y UNITED KINGDOM A VENEZUELA (BOLIVARIAN REPUBLIC OF) Y VIET NAM",https://searchlibrary.ohchr.org/record/27278
4,2016-09-30,Human rights and transitional justice,"
    Yes: 29 | No: 1 | Abstentions: 17 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA A ALGERIA A BANGLADESH Y BELGIUM A BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA A BURUNDI A CHINA N CONGO Y COTE D'IVOIRE A CUBA Y ECUADOR Y EL SALVADOR A ETHIOPIA Y FRANCE Y GEORGIA Y GERMANY Y GHANA A INDIA A INDONESIA A KENYA A KYRGYZSTAN Y LATVIA Y MALDIVES Y MEXICO Y MONGOLIA Y MOROCCO Y NAMIBIA Y NETHERLANDS A NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES Y PORTUGAL Y QATAR Y REPUBLIC OF KOREA A RUSSIAN FEDERATION A SAUDI ARABIA Y SLOVENIA Y SOUTH AFRICA Y SWITZERLAND Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA Y TOGO A UNITED ARAB EMIRATES Y UNITED KINGDOM A VENEZUELA (BOLIVARIAN REPUBLIC OF) A VIET NAM",https://searchlibrary.ohchr.org/record/27276
5,2016-09-29,The right to development,"
    Yes: 34 | No: 2 | Abstentions: 11 | Non-Voting: 0 | Total voting membership: 47","
    A ALBANIA Y ALGERIA Y BANGLADESH A BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE Y CUBA Y ECUADOR Y EL SALVADOR Y ETHIOPIA N FRANCE A GEORGIA A GERMANY Y GHANA Y INDIA Y INDONESIA Y KENYA Y KYRGYZSTAN A LATVIA Y MALDIVES Y MEXICO Y MONGOLIA Y MOROCCO Y NAMIBIA A NETHERLANDS Y NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES A PORTUGAL Y QATAR A REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SAUDI ARABIA A SLOVENIA Y SOUTH AFRICA A SWITZERLAND A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA Y TOGO Y UNITED ARAB EMIRATES N UNITED KINGDOM Y VENEZUELA (BOLIVARIAN REPUBLIC OF) Y VIET NAM",https://searchlibrary.ohchr.org/record/27271
6,2016-09-29,The human rights to safe drinking water and sanitation,"
    Yes: 42 | No: 1 | Abstentions: 4 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA Y ALGERIA Y BANGLADESH Y BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE Y CUBA Y ECUADOR A EL SALVADOR Y ETHIOPIA Y FRANCE Y GEORGIA Y GERMANY Y GHANA Y INDIA Y INDONESIA A KENYA N KYRGYZSTAN Y LATVIA Y MALDIVES Y MEXICO Y MONGOLIA Y MOROCCO Y NAMIBIA Y NETHERLANDS A NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES Y PORTUGAL Y QATAR Y REPUBLIC OF KOREA A RUSSIAN FEDERATION Y SAUDI ARABIA Y SLOVENIA Y SOUTH AFRICA Y SWITZERLAND Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA Y TOGO Y UNITED ARAB EMIRATES Y UNITED KINGDOM Y VENEZUELA (BOLIVARIAN REPUBLIC OF) Y VIET NAM",https://searchlibrary.ohchr.org/record/27267
7,2016-09-29,The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination,"
    Yes: 32 | No: 13 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    N ALBANIA Y ALGERIA Y BANGLADESH N BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE Y CUBA Y ECUADOR Y EL SALVADOR Y ETHIOPIA N FRANCE N GEORGIA N GERMANY A GHANA Y INDIA Y INDONESIA Y KENYA Y KYRGYZSTAN N LATVIA Y MALDIVES A MEXICO Y MONGOLIA Y MOROCCO Y NAMIBIA N NETHERLANDS Y NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES N PORTUGAL Y QATAR N REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SAUDI ARABIA N SLOVENIA Y SOUTH AFRICA N SWITZERLAND N THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA Y TOGO Y UNITED ARAB EMIRATES N UNITED KINGDOM Y VENEZUELA (BOLIVARIAN REPUBLIC OF) Y VIET NAM",https://searchlibrary.ohchr.org/record/27261
8,2016-09-29,Promotion of a democratic and equitable international order,"
    Yes: 30 | No: 12 | Abstentions: 5 | Non-Voting: 0 | Total voting membership: 47","
    N ALBANIA Y ALGERIA Y BANGLADESH N BELGIUM Y BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA Y BURUNDI Y CHINA Y CONGO Y COTE D'IVOIRE Y CUBA Y ECUADOR Y EL SALVADOR Y ETHIOPIA N FRANCE A GEORGIA N GERMANY Y GHANA Y INDIA Y INDONESIA A KENYA Y KYRGYZSTAN N LATVIA Y MALDIVES A MEXICO Y MONGOLIA Y MOROCCO Y NAMIBIA N NETHERLANDS Y NIGERIA Y PANAMA A PARAGUAY Y PHILIPPINES N PORTUGAL Y QATAR N REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SAUDI ARABIA N SLOVENIA Y SOUTH AFRICA N SWITZERLAND N THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA A TOGO Y UNITED ARAB EMIRATES N UNITED KINGDOM Y VENEZUELA (BOLIVARIAN REPUBLIC OF) Y VIET NAM",https://searchlibrary.ohchr.org/record/27260
9,2016-07-01,Civil society space,"
    Yes: 31 | No: 7 | Abstentions: 9 | Non-Voting: 0 | Total voting membership: 47","
    Y ALBANIA Y ALGERIA Y BANGLADESH Y BELGIUM A BOLIVIA (PLURINATIONAL STATE OF) Y BOTSWANA A BURUNDI N CHINA N CONGO Y COTE D'IVOIRE N CUBA Y ECUADOR Y EL SALVADOR A ETHIOPIA Y FRANCE Y GEORGIA Y GERMANY Y GHANA Y INDIA Y INDONESIA A KENYA A KYRGYZSTAN Y LATVIA Y MALDIVES Y MEXICO Y MONGOLIA Y MOROCCO Y NAMIBIA Y NETHERLANDS N NIGERIA Y PANAMA Y PARAGUAY Y PHILIPPINES Y PORTUGAL A QATAR Y REPUBLIC OF KOREA N RUSSIAN FEDERATION A SAUDI ARABIA Y SLOVENIA N SOUTH AFRICA Y SWITZERLAND Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA Y TOGO A UNITED ARAB EMIRATES Y UNITED KINGDOM N VENEZUELA (BOLIVARIAN REPUBLIC OF) A VIET NAM",https://searchlibrary.ohchr.org/record/27240
